Designator	Val	Package	Mid X	Mid Y	Rotation	Layer
D29	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	72.999999	-90	0	top
D30	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	57.999999	-90	0	top
D31	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	42.999999	-90	0	top
D32	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	66.999999	-102	0	top
D33	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	51.999999	-102	0	top
D34	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	36.999999	-102	0	top
D35	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	21.999999	-102	0	top
D36	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	72.999999	-114	0	top
D37	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	57.999999	-114	0	top
D38	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	42.999999	-114	0	top
D39	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	90.999999	-132	90	top
D40	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	90.999999	-147	90	top
D41	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	90.999999	-162	90	top
D42	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	102.999999	-138	90	top
D43	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	102.999999	-153	90	top
D44	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	102.999999	-168	90	top
D45	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	102.999999	-183	90	top
D46	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	114.999999	-132	90	top
D47	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	114.999999	-147	90	top
D48	WS2812B	LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm	114.999999	-162	90	top
J1	Conn_01x03	PinHeader_1x03_P2.54mm_Horizontal	95.525	-169.625	-90	top
J2	Conn_01x03	PinHeader_1x03_P2.54mm_Horizontal	115.525	-169.625	-90	top
