Ref,Val,Package,PosX,PosY,Rot,Side
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",162.999999,-90.000000,180.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",114.999999,-72.000000,-90.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",114.999999,-57.000000,-90.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",114.999999,-42.000000,-90.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.999999,-66.000000,-90.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.999999,-51.000000,-90.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.999999,-36.000000,-90.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.999999,-21.000000,-90.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.999999,-72.000000,-90.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.999999,-57.000000,-90.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.999999,-42.000000,-90.000000,top
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.999999,-90.000000,0.000000,top
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.999999,-90.000000,0.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",42.999999,-90.000000,0.000000,top
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",66.999999,-102.000000,0.000000,top
"D33","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",51.999999,-102.000000,0.000000,top
"D34","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.999999,-102.000000,0.000000,top
"D35","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.999999,-102.000000,0.000000,top
"D36","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.999999,-114.000000,0.000000,top
"D37","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.999999,-114.000000,0.000000,top
"D38","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",42.999999,-114.000000,0.000000,top
"D39","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.999999,-132.000000,90.000000,top
"D40","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.999999,-147.000000,90.000000,top
"D41","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.999999,-162.000000,90.000000,top
"D42","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.999999,-138.000000,90.000000,top
"D43","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.999999,-153.000000,90.000000,top
"D44","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.999999,-168.000000,90.000000,top
"D45","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.999999,-183.000000,90.000000,top
"D46","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",114.999999,-132.000000,90.000000,top
"D47","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",114.999999,-147.000000,90.000000,top
"D48","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",114.999999,-162.000000,90.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",95.525000,-169.625000,-90.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Horizontal",115.525000,-169.625000,-90.000000,top
